C,Sex,Speaking,morph,lex,L1
Taiwan,Female,493.75,0.2937,0.595079,1
Tanzania,Female,469,0.0623,0.595079,1
Thailand,Female,496.3181818181818,0.2404,0.595079,1
Thailand,Male,497,0.2404,0.595079,1
Tunisia,Female,518.5,0.0638,0.595079,1
Tunisia,Male,507.77777777777777,0.0638,0.595079,1
Turkey,Female,505.3619047619048,0.04976857142857143,0.5896946285714286,1
Turkey,Male,491.1849710982659,0.050226011560693645,0.5784348208092486,1
Ukraine,Female,518.2608695652174,0.047556521739130435,0.39587334782608696,1
Ukraine,Male,519.25,0.0468,0.39558725,1
UnitedKingdom,Female,531.830985915493,0.012991549295774648,0.10140745070422535,1
UnitedStates,Female,537.1166666666667,0.009513333333333334,0.0936878,1
UnitedStates,Male,530.0952380952381,0.0094,0.083191,1
Uruguay,Female,624,0.0193,0.398649,1
Uzbekistan,Female,511,0.0468,0.396083,1
Uzbekistan,Male,521,0.0468,0.396083,1
Venezuela,Female,527.3636363636364,0.0193,0.398649,1
Venezuela,Male,531.5,0.014350000000000002,0.24092,1
Vietnam,Female,492.2631578947368,0.2859,0.595079,1
Vietnam,Male,456.1666666666667,0.23981666666666665,0.5097643333333334,1
Yugoslavia,Male,511.2162162162162,0.061099999999999995,0.41692086486486485,1
Zimbabwe,Female,522.6666666666666,0.0094,0.083191,1
